,credits,catalog_id,prereqs,coreqs,fees,attributes,description,program_code,program_name,YEAR,SEMESTER,term,CatalogYear,Title
0,3 Credits,AC 0011,,,,,"This course introduces students to financial accounting. Students learn to read and comprehend published financial statements and are introduced to the financial reporting process. Topics include financial statement analysis; accrual accounting; revenue and expense recognition; and accounting for assets, liabilities, and equities.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Introduction to Financial Accounting
1,3 Credits,AC 0012,AC 0011.,,,,"This course introduces students to managerial accounting and the role of accounting information in managerial decision-making. Topics include a description of basic cost elements; the interrelationship between fixed costs, variable costs, and profit; and methods of accumulating the costs associated with producing products and providing services (e.g., activity-based costing), so that students can make recommendations about performance evaluation, project evaluation and other management decisions.",AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Introduction to Management Accounting
2,3 Credits,AC 0203,AC 0011.,,,,"This course provides an in-depth study of financial accounting theory and concepts, and the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP). The course emphasizes balance sheet valuations and their relationship to income measurement and determination.",AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Intermediate Accounting I
3,3 Credits,AC 0204,AC 0203.,,,,"This course continues the in-depth study of financial accounting theory and concepts, and the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP) begun in ",AC,Accounting,2017.0,Summer,Summer2017,2016_2017,Intermediate Accounting II
4,3 Credits,AC 0265,AC 0012.,,,,"This course analyzes the methods used to capture, process, and communicate accounting information in a modern business enterprise. Students learn to document business transaction cycles using data-flow diagrams and flowcharts. They analyze the accounting information system, identify weaknesses, and recommend improvements to internal control. Students process accounting information through a modern database management application program such as a general ledger package or an enterprise resource planning system.",AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Accounting Information Systems
5,3 Credits,AC 0310,AC 0204; junior or senior standing.,,,,"This course focuses on accounting for various financial investments, including financial instruments, derivatives, and business combinations. Students also study the role of financial instruments in hedging foreign currency exposures and the complications encountered in financial reporting in a global environment.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Advanced Accounting
6,3 Credits,AC 0320,"AC 0012, AC 0203, junior or senior standing.",,,,"This course focuses on the proactive management of costs and the effect of costs on managers' decision-making, planning, and control. Students learn to accumulate costs and assign them to products and services using several different techniques such as activity-based costing. Other topics include profit planning and resource allocation through the budgeting process; the evaluations of organizational performance in cost, profit, and investment centers; and the importance of cost in the strategic management of the organization.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Cost Management
7,3 Credits,AC 0330,AC 0204; junior or senior standing.,,,,"This course introduces the audit of financial statements by independent CPAs. It bridges the gap between knowledge of accounting principles and the professional practice of accounting and auditing in the working world. Students learn about the role of auditing in society and the professional standards for behavioral and technical competence. They also study the factors entering into judgments about audit risk and the fair presentation of financial statement assertions. The course presents programs and procedures for defining audit objectives, gathering evidence, making decisions, and exercising professional skepticism.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Auditing
8,3 Credits,AC 0343,AC 0204; junior or senior standing.,,,,"This course introduces students to income tax, adjusted gross income, deductions from adjusted gross income, itemized deductions, property transactions, filing status and exemptions, passive activity losses, tax credits, and tax computations. The course also includes tax compliance and preparation considerations for individuals.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Federal Income Taxation I
9,3 Credits,AC 0344,"AC 0343, junior or senior standing.",,,UDIV U.S. Diversity,This course builds on the knowledge students obtained from ,AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Individual Taxation: Socioeconomic Applications
10,3 Credits,AC 0345,AC 0343; junior or senior standing.,,,,This course continues the study of taxation begun in ,AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Federal Income Taxation II
11,3 Credits,AC 0380,AC 0204; junior or senior standing.,,,,"This course examines accounting theory and concepts,and the reporting principles promulgated by the Financial Accounting Standards Board (FASB) as they relate to voluntary health and welfare organizations, healthcare organizations and universities and all types of not for profit organizations. Learning will be enhanced by a service learning experience.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Municipal and Not-for-Profit Accounting
12,3 Credits,AC 0400,,,,,"This course examines the basic concepts necessary to understand the information provided by financial and managerial accounting systems. The focus is on interpretation of basic information, as students learn about internal and external financial reporting. Topics include: accrual accounting; revenue and expense recognition; accounting for assets, liabilities, and equities; accumulation and assignment of costs to products and services; and budgeting.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Introduction to Accounting
13,3 Credits,AC 0500,AC 0400.,,,,"This course emphasizes the use of accounting information by managers for decision-making. It is designed to provide managers with the skills necessary to interpret analytical information supplied by the financial and managerial accounting systems. Financial accounting concepts based on profit, liquidity, solvency, and capital structure are used in the process of employing management accounting tools to decisions and evaluate organization performance and changes in cost, profit and investment centers.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Accounting Information for Decision-Making
14,3 Credits,AC 0510,,,,,"This course brings together technical accounting and reporting concepts and theories with a focus on the financial accounting information that is required to be filed with regulatory agencies, the most predominant being the Securities and Exchange Commission. This course aims to provide an in-depth conceptual understanding of regulatory reporting requirements coupled with an appreciation of how these regulations affect the quality of information in publicly available corporate reports. Students will enhance their ability to analyze and understand unique and complex future accounting issues and possible solutions. The course is taught seminar style with students leading the discussions of cases and research.",AC,Accounting,2017.0,Summer,Summer2017,2016_2017,Issues in a Regulatory Reporting Environment
15,3 Credits,AC 0530,,,,,This course examines the generally accepted accounting principles applicable to governmental entities (as issued by GASB) as well as accounting principles applicable to not-for-profit entities (as issued by FASB). The focus will be on the financial statements and reports prepared by state and local governments and financial reporting for the wide array of not-for-profit entities with an emphasis on the contrast of these entities with for-profit accounting.,AC,Accounting,2017.0,Summer,Summer2017,2016_2017,"Accounting for Governments, Hospitals, and Universities"
16,3 Credits,AC 0550,,,,,"This course analyzes the methods used to capture, process, and communicate accounting information in a modern business enterprise. Students learn to document business transaction cycles, identify weaknesses, and recommend internal control improvements. They may design and build a module of an accounting information system using appropriate database technology.",AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Accounting Information Systems and Technology
